Date : 2023-04-26 10:18:54
Directory : e:\5.paper\code\xzxpir\simple
Total : 66 files,  -18072 codes, -1831 comments, -2514 blanks, all -22417 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| XML         |          1 |        -96 |          0 |         -1 |        -97 |
| log         |          6 |       -375 |          0 |        -67 |       -442 |
| CMake Cache |          2 |       -421 |          0 |       -101 |       -522 |
| Ninja       |          4 |       -465 |          0 |       -241 |       -706 |
| CMake       |         15 |       -522 |          0 |       -125 |       -647 |
| C           |          2 |       -642 |        -61 |       -139 |       -842 |
| JSON        |         14 |     -2,615 |          0 |        -11 |     -2,626 |
| C++         |         22 |    -12,936 |     -1,770 |     -1,829 |    -16,535 |
+-------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                  |         66 |    -18,072 |     -1,831 |     -2,514 |    -22,417 |
| . (Files)                                                                                                                                          |          5 |        129 |          7 |         13 |        149 |
| ..                                                                                                                                                 |         61 |    -18,201 |     -1,838 |     -2,527 |    -22,566 |
| ..\build                                                                                                                                           |         46 |     -5,764 |       -124 |       -823 |     -6,711 |
| ..\build (Files)                                                                                                                                   |          5 |       -638 |          0 |       -208 |       -846 |
| ..\build\.cmake                                                                                                                                    |         12 |     -2,547 |          0 |        -11 |     -2,558 |
| ..\build\.cmake\api                                                                                                                                |         12 |     -2,547 |          0 |        -11 |     -2,558 |
| ..\build\.cmake\api\v1                                                                                                                             |         12 |     -2,547 |          0 |        -11 |     -2,558 |
| ..\build\.cmake\api\v1\query                                                                                                                       |          1 |         -1 |          0 |          0 |         -1 |
| ..\build\.cmake\api\v1\query\client-vscode                                                                                                         |          1 |         -1 |          0 |          0 |         -1 |
| ..\build\.cmake\api\v1\reply                                                                                                                       |         11 |     -2,546 |          0 |        -11 |     -2,557 |
| ..\build\CMakeFiles                                                                                                                                |         11 |     -1,562 |       -124 |       -415 |     -2,101 |
| ..\build\CMakeFiles (Files)                                                                                                                        |          3 |       -153 |          0 |        -97 |       -250 |
| ..\build\CMakeFiles\3.24.2                                                                                                                         |          6 |     -1,407 |       -124 |       -315 |     -1,846 |
| ..\build\CMakeFiles\3.24.2 (Files)                                                                                                                 |          4 |       -139 |          0 |        -41 |       -180 |
| ..\build\CMakeFiles\3.24.2\CompilerIdC                                                                                                             |          1 |       -640 |        -61 |       -138 |       -839 |
| ..\build\CMakeFiles\3.24.2\CompilerIdCXX                                                                                                           |          1 |       -628 |        -63 |       -136 |       -827 |
| ..\build\CMakeFiles\ShowIncludes                                                                                                                   |          2 |         -2 |          0 |         -3 |         -5 |
| ..\build\Testing                                                                                                                                   |          4 |       -387 |          0 |         -6 |       -393 |
| ..\build\Testing\20230411-0440                                                                                                                     |          1 |        -96 |          0 |         -1 |        -97 |
| ..\build\Testing\Temporary                                                                                                                         |          3 |       -291 |          0 |         -5 |       -296 |
| ..\build\_deps                                                                                                                                     |         11 |       -562 |          0 |       -170 |       -732 |
| ..\build\_deps\googletest-subbuild                                                                                                                 |         11 |       -562 |          0 |       -170 |       -732 |
| ..\build\_deps\googletest-subbuild (Files)                                                                                                         |          3 |       -258 |          0 |       -100 |       -358 |
| ..\build\_deps\googletest-subbuild\CMakeFiles                                                                                                      |          4 |        -88 |          0 |        -22 |       -110 |
| ..\build\_deps\googletest-subbuild\CMakeFiles (Files)                                                                                              |          2 |        -32 |          0 |        -16 |        -48 |
| ..\build\_deps\googletest-subbuild\CMakeFiles\3.24.2                                                                                               |          1 |        -10 |          0 |         -6 |        -16 |
| ..\build\_deps\googletest-subbuild\CMakeFiles\googletest-populate.dir                                                                              |          1 |        -46 |          0 |          0 |        -46 |
| ..\build\_deps\googletest-subbuild\googletest-populate-prefix                                                                                      |          4 |       -216 |          0 |        -48 |       -264 |
| ..\build\_deps\googletest-subbuild\googletest-populate-prefix\src                                                                                  |          3 |       -197 |          0 |        -44 |       -241 |
