"filename", "language", "C++", "comment", "blank", "total"
"e:\5.paper\code\xzxpir\simple\database.cpp", "C++", 0, 3, 0, 3
"e:\5.paper\code\xzxpir\simple\database.hpp", "C++", 1, 0, 0, 1
"e:\5.paper\code\xzxpir\simple\matrix.cpp", "C++", 18, 3, 9, 30
"e:\5.paper\code\xzxpir\simple\matrix.hpp", "C++", 9, 0, 0, 9
"e:\5.paper\code\xzxpir\simple\pir.cpp", "C++", 14, 0, 0, 14
"e:\5.paper\code\xzxpir\simple\pir.hpp", "C++", 1, 0, 0, 1
"e:\5.paper\code\xzxpir\simple\simplePirClient.cpp", "C++", 21, 1, 4, 26
"e:\5.paper\code\xzxpir\simple\simplePirClient.hpp", "C++", 3, 0, 0, 3
"e:\5.paper\code\xzxpir\simple\simplePirServer.cpp", "C++", 22, 15, 5, 42
"e:\5.paper\code\xzxpir\simple\simplePirServer.hpp", "C++", 2, 0, 0, 2
"e:\5.paper\code\xzxpir\simple\utils.cpp", "C++", 0, 2, 0, 2
"Total", "-", 91, 24, 18, 133
